Experiment,Model,Test Accuracy,Test Loss,Precision,Recall,F1 Score,Trainable Params,Total Params,Inference Time (s),Inference Speed (samples/s),Final Epoch,Mean Epoch Time (s),Total Training Time (s),Best Val Accuracy
Augmentation,MLP,0.5149,1.3625069841553894,0.5142319097220407,0.5149000000000001,0.5130994295343198,1738890,1738890,0.6637940406799316,15064.913794280057,50,11.038301401138305,552.2236218452454,51.52
Augmentation,CNN,0.8198,0.5397101448306555,0.8203263121459997,0.8198000000000001,0.8185029810745515,357258,357258,0.8351590633392334,11973.766961250229,50,13.406501379013061,670.5147702693939,82.55
