Experiment,Model,Test Accuracy,Test Loss,Precision,Recall,F1 Score,Trainable Params,Total Params,Inference Time (s),Inference Speed (samples/s),Final Epoch,Mean Epoch Time (s),Total Training Time (s),Best Val Accuracy
Augmentation & dropout = 0.3,MLP,0.4449,1.5725335652315164,0.4465058610171053,0.44489999999999996,0.4365310883807818,1738890,1738890,0.6623377799987793,15098.036533592316,50,11.470694975852966,573.8344619274139,44.9
Augmentation & dropout = 0.3,CNN,0.8104,0.5481316692466978,0.81278639610263,0.8103999999999999,0.808050795944593,357258,357258,0.9101150035858154,10987.622400026825,50,13.855877237319946,692.978440284729,81.44
