Model,Batch Size,Dropout,Augmentation,Params,Test Acc,Train Time,Inference (samples/s)
MLP,128,0.0,True,1738890,0.5149,552.2236218452454,15064.913794280057
CNN,128,0.0,True,357258,0.8198,670.5147702693939,11973.766961250229
