Model,Batch Size,Dropout,Augmentation,Params,Test Acc,Train Time,Inference (samples/s)
MLP_820,128,0.0,True,820874,0.4955,558.2399230003357,13386.5052487319
CNN_820,128,0.0,True,824651,0.8149,637.0713357925415,11469.524013703365
