Model,Batch Size,Dropout,Augmentation,Params,Test Acc,Train Time,Inference (samples/s)
MLP_820,128,0.3,True,820874,0.4962,543.1154239177704,14921.946514711497
CNN_820,128,0.3,True,824651,0.8299,696.0893278121948,9749.343350053694
