Experiment,Model,Test Accuracy,Test Loss,Precision,Recall,F1 Score,Trainable Params,Total Params,Inference Time (s),Inference Speed (samples/s),Final Epoch,Mean Epoch Time (s),Total Training Time (s),Best Val Accuracy
Same parameters ~ 820K,MLP,0.4955,1.3943645622156844,0.5002212287824992,0.4955,0.49113401659033135,820874,820874,0.747020959854126,13386.5052487319,50,11.161521897315978,558.2399230003357,50.18
Same parameters ~ 820K,CNN,0.8362,0.4966372194923932,0.8377012610228045,0.8362,0.8362470510937008,824651,824651,0.8627257347106934,11591.169241466296,50,13.598975596427918,680.1306450366974,83.78
